countyFIPS,County Name,State,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020
0,Statewide Unallocated,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,3,3,21,20,17,1,22,57,57,0,4,5,5,13,14,5,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0
34001,Atlantic County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,6,7,8,8,11,13,13,17,19,19,19,22,22,22,29,29,29,30,35,37,41,45,48,49,51,51,54,62,68,72,72
34003,Bergen County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,4,6,7,9,14,14,17,24,32,32,32,45,75,120,132,179,189,200,263,314,345,390,435,453,453,550,608,668,714,741,767,787,835,835,835,934,954,955,960,1002,1057,1136,1187,1202,1210,1215,1261,1289,1319,1329,1348,1355
34005,Burlington County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,5,8,9,10,11,11,13,17,21,22,22,23,23,28,45,52,54,57,58,61,66,66,66,81,88,94,98,106,117,130,144,146,149,149,164,177,185,190,194,198
34007,Camden County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,6,7,8,8,8,12,22,23,29,29,32,32,41,49,60,64,73,74,81,89,89,89,106,118,121,122,124,136,147,155,161,163,163,180,189,193,199,217,225
34009,Cape May County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,9,9,10,10,10,14,14,14,15,16,16,16,16,18,18,18,20,21,22,22,23,24,24,26,28,31,31,32,32
34011,Cumberland County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,8,10,10,12,13,16,17,19,23,25,25,28,34,36
34013,Essex County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,7,11,14,20,20,20,31,69,99,118,155,172,186,232,276,312,352,412,428,428,535,590,642,684,732,740,751,849,849,849,975,1019,1023,1028,1090,1139,1186,1240,1265,1282,1292,1319,1349,1381,1398,1414,1423
34015,Gloucester County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,5,7,8,8,9,9,9,11,14,18,22,23,24,25,27,27,27,30,30,31,33,38,40,46,48,50,51,51,61,63,66,72,79,81
34017,Hudson County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,4,7,7,7,12,29,44,59,78,87,92,103,122,132,163,183,226,226,277,312,365,420,434,452,492,525,525,525,640,655,661,673,722,758,798,819,834,845,845,870,903,923,940,954,969
34019,Hunterdon County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,7,11,11,11,11,14,15,16,17,18,18,19,19,19,22,23,23,23,23,23,29,31,35,37,37,38,39,43,44,45,45
34021,Mercer County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,13,16,19,24,28,36,39,49,50,50,71,76,87,101,110,113,122,133,133,133,178,183,188,194,212,220,231,239,252,255,256,280,298,313,322,330,334
34023,Middlesex County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,12,14,14,14,18,27,48,56,76,80,87,100,139,152,168,177,193,193,216,248,278,309,313,329,345,360,360,360,413,431,442,455,515,531,571,591,618,639,642,667,706,737,748,759,793
34025,Monmouth County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,4,6,9,11,11,11,17,24,38,48,54,58,62,71,86,98,107,115,123,123,145,167,190,206,221,226,230,244,244,244,273,287,291,302,305,317,341,355,372,382,385,398,417,428,429,439,443
34027,Morris County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,6,8,12,12,12,20,25,40,43,51,55,60,87,102,117,135,152,162,162,192,212,216,232,255,257,269,291,291,291,340,347,351,355,377,387,413,430,440,449,449,474,491,503,506,511,516
34029,Ocean County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,5,10,10,10,16,23,38,45,56,62,71,85,101,119,121,132,138,138,149,166,185,201,212,217,222,253,253,253,301,317,322,330,342,367,397,420,426,440,447,469,483,500,516,522,540
34031,Passaic County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,7,7,7,9,15,22,34,38,42,53,62,71,82,101,119,131,131,156,182,211,221,243,250,263,294,294,294,383,416,426,438,475,516,573,599,624,632,633,663,690,703,715,734,744
34033,Salem County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,8,9,10,11,12,13,14,15,17,18,18,18,18
34035,Somerset County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,8,8,8,8,15,17,23,24,26,31,40,46,59,69,78,79,79,91,101,121,135,146,158,170,176,176,176,198,219,223,227,242,252,270,282,289,295,298,306,315,320,328,331,333
34037,Sussex County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,7,8,9,9,11,15,21,21,26,27,35,35,39,41,43,54,55,62,64,69,69,69,84,91,92,93,97,99,103,110,114,115,116,120,122,123,125,127,127
34039,Union County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,10,10,19,29,34,45,66,71,78,95,125,145,161,195,209,209,238,269,301,330,356,372,387,427,427,427,542,563,571,583,627,653,690,714,731,737,737,768,800,829,844,852,867
34041,Warren County,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,6,6,7,7,9,1,15,18,22,22,25,30,33,36,39,44,47,48,48,48,61,63,65,67,71,81,82,83,84,86,87,91,94,99,101,103,104
